,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
159,-1.09735986,-0.837924786,-1.354659367,-0.111182916,-0.750018311,1.182906505,-0.250601969,0.098852016,-0.529165004,1.987341772,담꾹 약수역점,1
160,-0.883417654,-0.502840172,0.499378606,1.926439886,1.493294425,-1.734100197,-0.76848692,-0.775943615,-0.241559569,2.184971098,담꾹 양천구청점,1
161,-0.594423794,-0.174797616,-0.655455764,-1.149076824,-0.450909946,0.276080614,2.722421235,1.231420135,-0.486055809,1.984375,담꾹 영등포역점,1
162,-0.371945126,-0.055376041,-0.124509712,-0.036416686,-0.114413036,-1.667487156,-0.822605373,-1.24131539,-0.910397248,1.991596639,담꾹 월계점,1
163,0.529920594,-0.885458681,2.810649798,-0.553905508,-0.750018311,-1.648171819,-0.878535861,-0.300567104,0.254722624,2.035046729,담꾹 위례중앙점,1
164,-0.717187352,-0.649549723,-0.674685198,-0.546382394,0.184695329,0.856072186,-0.700580178,-0.128119831,-0.971155986,2.5,담꾹 은평신사점,1
165,0.729097026,0.204006445,0.651077477,-0.008733316,0.782912058,0.009567614,0.385257843,-0.382947391,0.652348574,2.135294118,담꾹 장안삼거리점,1
166,0.729097026,0.204006445,0.651077477,-0.008733316,0.782912058,0.009567614,0.385257843,0.574979614,0.652348574,1.767080745,담꾹 장안점,1
167,-0.628685001,-1.24841811,-0.788459352,-0.39583558,-0.376132855,-0.265199069,-1.174702066,-1.572049342,-0.731924848,2.279816514,담꾹 장위뉴타운점,1
168,0.016948416,-0.273386434,0.414448603,-0.553905508,-0.750018311,-0.437753934,-0.636327961,-1.231495428,0.107161944,1.967320261,담꾹 장지점,1
169,0.07499636,-0.441515579,-1.382435217,0.01611832,-0.376132855,1.279290908,0.180327667,-0.815132204,-1.550841064,2.008064516,담꾹 정릉시장점,1
170,0.679631687,-1.250765463,-1.018678415,-0.680234656,-0.376132855,-0.660412043,-1.30141542,-0.599505851,-1.331858686,1.557377049,담꾹 종암점,0
171,-0.161071433,0.546426537,0.551191248,0.524224381,-0.114413036,-2.447236662,-0.668710936,-1.31490866,-0.031729742,2.017211704,담꾹 중계브라운스톤점,1
172,-0.685717799,-1.411559131,0.809186161,0.524224381,-0.114413036,-1.414589845,-1.006017864,-1.06919418,0.353003027,1.994318182,담꾹 중계은행사거리점,1
173,0.722683142,-0.00021325,1.375920327,-0.343638692,0.670746422,-1.555275616,-0.182753938,-0.889130368,-0.473148596,2.045714286,담꾹 중랑구청점,1
174,0.038197286,0.826054941,-0.750534634,-0.584758729,0.670746422,1.473797805,0.116562877,0.149438975,-0.684926767,1.944055944,담꾹 중화역점,1
175,-0.561523806,-0.525433443,-0.080709334,0.807059663,1.642848607,-0.633065552,-0.56774929,-0.571402905,-0.293546161,1.98,담꾹 창동역점,1
176,-0.684287365,-0.27456011,-0.870184449,-0.671823983,-0.376132855,0.139113411,-0.215900778,-0.650404377,-0.761658194,1.867857143,담꾹 하월곡점,1
177,1.833069261,0.136226632,-0.644238594,-1.417034936,-0.376132855,0.672873405,-0.07860059,1.61226878,0.096364517,1.990079365,담꾹 한성대역점,1
178,0.232782486,1.477151929,-0.206234809,-0.755761651,-0.750018311,2.905858527,0.845635618,1.331740969,2.618061475,1.688172043,담꾹 헬리오시티점,0
179,-0.547588608,-0.551841162,-0.281015943,-0.453019701,1.044631878,-0.153646726,-0.823618303,-1.32042844,-0.980431278,1.910569106,담꾹 홍은점,1
180,-0.755901363,-1.283334983,-1.122837852,-0.355726393,1.044631878,-0.315692454,-1.247169792,-1.835240772,-0.958754952,1.634146341,담꾹 홍제역점,0
181,-0.350926971,1.47010987,0.128677841,2.964376058,0.147306783,3.063276456,-0.034850112,-0.204885134,0.317117929,1.864864865,담꾹 화곡본동점,1
182,-0.755993649,-0.494624437,-1.053398227,-0.600607986,0.184695329,1.698485152,-0.570895116,0.602663169,-0.743630628,1.956730769,담꾹연신내점,1
